20 - 29 - 34 - 35 - 37 - 40
04 - 08 - 23 - 26 - 42 - 45
04 - 13 - 20 - 30 - 32 - 42
12 - 18 - 19 - 28 - 30 - 43
02 - 11 - 27 - 37 - 38 - 45
01 - 03 - 18 - 25 - 27 - 29
01 - 15 - 17 - 21 - 35 - 44
03 - 12 - 20 - 28 - 31 - 34
10 - 18 - 31 - 38 - 41 - 42
02 - 03 - 14 - 22 - 41 - 45
04 - 09 - 24 - 33 - 34 - 35
18 - 19 - 22 - 26 - 27 - 28
03 - 06 - 07 - 20 - 25 - 37
10 - 11 - 22 - 28 - 34 - 35
01 - 05 - 12 - 16 - 27 - 35
02 - 09 - 26 - 34 - 35 - 42
13 - 15 - 22 - 25 - 26 - 38
01 - 05 - 12 - 22 - 33 - 40
03 - 06 - 14 - 36 - 39 - 43
01 - 07 - 10 - 11 - 22 - 30
09 - 18 - 23 - 31 - 32 - 36
01 - 14 - 16 - 19 - 29 - 33
16 - 27 - 28 - 33 - 35 - 43
19 - 22 - 25 - 35 - 40 - 42
08 - 16 - 20 - 26 - 35 - 40
02 - 09 - 13 - 17 - 29 - 45
08 - 11 - 16 - 23 - 24 - 30
05 - 06 - 18 - 30 - 32 - 36
11 - 18 - 24 - 35 - 42 - 45
24 - 31 - 32 - 33 - 40 - 42
04 - 07 - 13 - 14 - 17 - 27
16 - 19 - 22 - 30 - 43 - 45
08 - 20 - 22 - 33 - 38 - 40
10 - 28 - 32 - 41 - 44 - 45
04 - 07 - 09 - 18 - 29 - 45
01 - 02 - 08 - 15 - 24 - 34
04 - 07 - 15 - 16 - 27 - 37
03 - 15 - 19 - 30 - 32 - 45
01 - 05 - 12 - 16 - 28 - 35
03 - 10 - 20 - 21 - 34 - 40
03 - 04 - 06 - 22 - 34 - 45
05 - 07 - 18 - 20 - 23 - 42
01 - 07 - 19 - 27 - 34 - 43
02 - 09 - 12 - 21 - 27 - 33
18 - 25 - 32 - 35 - 42 - 45
03 - 11 - 20 - 27 - 31 - 34
10 - 25 - 36 - 38 - 40 - 44
06 - 07 - 13 - 26 - 28 - 45
01 - 10 - 16 - 21 - 38 - 43
11 - 14 - 20 - 22 - 37 - 42
08 - 10 - 12 - 17 - 23 - 28
09 - 17 - 18 - 24 - 25 - 30
09 - 17 - 25 - 26 - 33 - 36
04 - 11 - 14 - 16 - 21 - 27
01 - 04 - 05 - 15 - 24 - 39
03 - 04 - 10 - 18 - 24 - 29
01 - 09 - 13 - 23 - 26 - 32
02 - 11 - 12 - 24 - 34 - 36
01 - 20 - 27 - 34 - 36 - 41
05 - 14 - 18 - 21 - 23 - 42
03 - 20 - 27 - 30 - 39 - 42
04 - 10 - 20 - 24 - 28 - 38
03 - 21 - 22 - 24 - 26 - 44
17 - 21 - 27 - 30 - 32 - 34
03 - 07 - 10 - 25 - 26 - 37
11 - 32 - 37 - 41 - 42 - 45
16 - 20 - 23 - 34 - 38 - 40
03 - 05 - 10 - 25 - 38 - 41
13 - 22 - 24 - 26 - 28 - 39
03 - 11 - 14 - 19 - 20 - 26
05 - 21 - 24 - 31 - 34 - 42
07 - 10 - 11 - 17 - 22 - 38
06 - 09 - 11 - 23 - 31 - 37
06 - 08 - 15 - 16 - 33 - 37
08 - 10 - 21 - 30 - 33 - 36
04 - 06 - 17 - 24 - 28 - 32
06 - 10 - 12 - 16 - 22 - 27
06 - 13 - 20 - 24 - 32 - 45
15 - 17 - 24 - 25 - 29 - 42
14 - 16 - 26 - 31 - 35 - 42
08 - 09 - 11 - 18 - 26 - 43
07 - 11 - 24 - 28 - 31 - 44
03 - 04 - 07 - 17 - 38 - 42
03 - 29 - 30 - 43 - 44 - 45
06 - 07 - 15 - 19 - 29 - 39
08 - 10 - 14 - 21 - 32 - 42
06 - 13 - 22 - 29 - 35 - 43
11 - 17 - 27 - 34 - 36 - 38
05 - 10 - 17 - 18 - 29 - 38
09 - 26 - 27 - 28 - 29 - 37
03 - 11 - 15 - 20 - 42 - 43
02 - 03 - 04 - 08 - 12 - 44
02 - 12 - 13 - 21 - 26 - 33
09 - 16 - 30 - 37 - 40 - 42
18 - 19 - 21 - 23 - 30 - 31
07 - 08 - 33 - 34 - 43 - 45
07 - 13 - 25 - 26 - 31 - 32
07 - 10 - 13 - 20 - 32 - 43
03 - 09 - 19 - 28 - 30 - 34
01 - 02 - 10 - 29 - 30 - 31
03 - 21 - 26 - 31 - 39 - 42
01 - 08 - 10 - 19 - 22 - 27
02 - 04 - 16 - 17 - 30 - 34
01 - 07 - 15 - 16 - 40 - 42
09 - 10 - 22 - 24 - 35 - 40
06 - 10 - 16 - 22 - 25 - 32
07 - 11 - 13 - 37 - 39 - 41
05 - 14 - 19 - 31 - 33 - 37
13 - 20 - 21 - 25 - 35 - 41
07 - 17 - 26 - 27 - 41 - 43
21 - 23 - 25 - 32 - 37 - 44
04 - 10 - 18 - 35 - 42 - 45
05 - 06 - 10 - 22 - 24 - 42
03 - 07 - 15 - 16 - 33 - 42
06 - 09 - 10 - 24 - 37 - 40
20 - 31 - 40 - 41 - 44 - 45
07 - 18 - 24 - 36 - 37 - 42
04 - 05 - 13 - 18 - 31 - 38
11 - 21 - 25 - 35 - 42 - 44
03 - 05 - 17 - 20 - 21 - 35
06 - 07 - 20 - 30 - 33 - 44
02 - 16 - 24 - 28 - 37 - 40
05 - 13 - 17 - 25 - 35 - 40
01 - 11 - 19 - 24 - 31 - 38
05 - 07 - 14 - 35 - 38 - 41
03 - 09 - 10 - 21 - 31 - 43
02 - 07 - 09 - 17 - 40 - 42
05 - 07 - 09 - 10 - 26 - 37
01 - 05 - 10 - 12 - 21 - 41
08 - 17 - 24 - 37 - 39 - 42
07 - 21 - 30 - 37 - 44 - 45
07 - 12 - 17 - 24 - 31 - 39
06 - 09 - 10 - 23 - 24 - 41
03 - 13 - 27 - 40 - 43 - 44
22 - 33 - 34 - 42 - 44 - 45
02 - 03 - 11 - 31 - 33 - 39
07 - 16 - 19 - 24 - 34 - 41
07 - 19 - 25 - 28 - 29 - 43
01 - 03 - 07 - 10 - 14 - 31
20 - 22 - 23 - 29 - 32 - 45
06 - 10 - 31 - 38 - 43 - 45
09 - 15 - 19 - 25 - 36 - 44
07 - 11 - 13 - 26 - 30 - 43
05 - 10 - 11 - 12 - 13 - 30
06 - 19 - 20 - 21 - 26 - 29
01 - 03 - 07 - 25 - 28 - 40
01 - 15 - 26 - 28 - 42 - 45
09 - 18 - 24 - 25 - 34 - 41
01 - 04 - 20 - 25 - 36 - 43
02 - 06 - 18 - 23 - 31 - 35
01 - 08 - 21 - 30 - 34 - 40
05 - 15 - 30 - 31 - 35 - 37
14 - 20 - 24 - 28 - 30 - 35
15 - 19 - 22 - 29 - 37 - 45
09 - 12 - 16 - 22 - 29 - 37
07 - 15 - 17 - 19 - 24 - 26
14 - 21 - 36 - 39 - 43 - 45
04 - 11 - 14 - 24 - 32 - 36
05 - 06 - 11 - 19 - 24 - 26
05 - 11 - 18 - 31 - 42 - 43
06 - 16 - 19 - 23 - 29 - 43
12 - 18 - 19 - 31 - 42 - 44
01 - 02 - 06 - 15 - 29 - 38
02 - 05 - 06 - 27 - 33 - 40
02 - 07 - 16 - 17 - 29 - 41
01 - 12 - 20 - 22 - 24 - 43
05 - 08 - 11 - 20 - 23 - 43
